Date,GHI
2021-03-15,5.025025
2021-03-16,4.547383333
2021-03-17,5.219116667
2021-03-18,4.648075
2021-03-19,4.957
2021-03-20,3.220425
2021-03-21,4.30625
2021-03-22,6.015591667
2021-03-23,6.209658333
2021-03-24,5.930958333
2021-03-25,5.744208333
2021-03-26,6.382258333
2021-03-27,5.880091667
2021-03-28,6.058016667
2021-03-29,5.221883333
2021-03-30,4.50345
2021-03-31,5.7723
2021-04-01,5.695466667
2021-04-02,5.393075
2021-04-03,5.281491667
2021-04-04,4.4688
2021-04-05,5.544483333
2021-04-20,5.541141667
2021-04-21,3.62395
2021-04-22,3.492116667
2021-04-23,2.394136241
2021-04-24,3.798924019
2021-04-25,2.735408262
2021-04-26,3.089371597
2021-04-27,3.055165786
2021-04-28,3.627878567
2021-04-29,4.539083967
2021-04-30,2.591562824
2021-05-01,5.292419368
2021-05-02,4.431024888
2021-05-03,5.883403687
2021-05-04,4.570410435
2021-05-05,2.253509217
2021-05-06,4.692892997
2021-05-07,3.644346039
2021-05-08,2.227714066
2021-05-09,5.552725485
2021-05-10,4.773650032
2021-05-11,4.13724155
2021-05-12,5.692629246
2021-05-13,4.949871427
2021-05-14,2.755736898
2021-05-15,4.155358975
2021-05-16,5.604047307
2021-05-17,5.142796085
2021-05-18,2.293150014
2021-05-19,3.053645955
2021-05-20,4.029908446
2021-05-21,3.486734001
2021-05-22,2.402452251
2021-05-23,5.544250301
2021-05-24,4.281675428
2021-05-25,3.316844593
2021-05-26,5.779133295
2021-05-27,2.546229425
2021-05-28,3.139226802
2021-05-29,3.038622696
2021-05-30,4.492467527
2021-05-31,5.732635684
2021-06-01,4.195066667
2021-06-02,4.877116667
2021-06-05,5.0684
2021-06-06,3.99225
2021-06-07,5.365591667
2021-06-08,2.611183333
2021-06-09,5.204808333
2021-06-10,3.592533333
2021-06-11,5.396108333
2021-06-12,4.161741667
2021-06-13,5.448483333
2021-06-14,5.926033333
2021-06-15,3.932033333
2021-06-16,4.729975
2021-06-17,6.520441667
2021-06-18,6.123708333
2021-06-19,5.056091667
2021-06-20,5.725175
2021-06-21,4.051708333
2021-06-22,4.164675
2021-06-23,4.859341667
2021-06-24,5.739525
2021-06-25,5.90975
2021-06-26,6.281358333
2021-06-27,5.852325
2021-06-28,5.981325
2021-06-29,5.256925
2021-06-30,3.089816667
2021-07-01,6.332116667
2021-07-02,6.18565
2021-07-03,5.4784
2021-07-04,3.296966667
2021-07-05,3.667841667
2021-07-06,2.852183333
2021-07-07,2.717125
2021-07-08,3.595508333
2021-07-09,4.808441667
2021-07-10,5.292016667
2021-07-11,5.98765
2021-07-12,4.842283333
2021-07-13,4.506258333
2021-07-14,3.985116667
2021-07-15,3.222533333
2021-07-16,5.855191667
2021-07-17,6.5543
2021-07-18,3.73
2021-07-19,4.535691667
2021-07-20,5.722691667
2021-07-21,3.865775
2021-07-22,4.174416667
2021-07-23,2.655541667
2021-07-24,5.254816667
2021-07-25,4.542575
2021-07-26,5.688958333
2021-07-27,5.361808333
2021-07-28,2.928783333
2021-07-29,4.2413
2021-07-30,5.188091667
2021-07-31,5.100383333
2021-08-01,5.665241667
2021-08-02,5.767216667
2021-08-03,4.787883333
2021-08-04,5.460966667
2021-08-05,4.524466667
2021-08-06,4.662016667
2021-08-07,5.138308333
2021-08-08,5.625883333
2021-08-09,5.828241667
2021-08-10,5.149116667
2021-08-11,4.361525
2021-08-12,5.940125
2021-08-13,4.5078
2021-08-14,4.780541667
2021-08-15,3.1595
2021-08-16,6.798441667
2021-08-17,5.053208333
2021-08-18,5.964591667
2021-08-19,6.168666667
2021-08-20,4.348666667
2021-08-21,6.70605
2021-08-22,6.500833333
2021-08-23,5.047366667
2021-08-24,5.3084
2021-08-25,3.497525
2021-08-26,5.08975
2021-08-27,6.084875
2021-08-28,2.886766667
2021-08-29,4.808008333
2021-08-30,4.709216667
2021-08-31,5.390408333
2021-09-01,4.287058333
2021-09-02,4.798375
2021-09-03,4.6332
2021-09-04,4.0792
2021-09-05,4.747466667
2021-09-06,4.892291667
2021-09-07,4.6983
2021-09-08,4.8834
2021-09-09,4.021166667
2021-09-10,4.851216667
2021-09-11,4.786425
2021-09-12,3.48995
2021-09-13,3.51
2021-09-14,4.23825
2021-09-15,4.308225
2021-09-16,4.453066667
2021-09-17,4.11275
2021-09-18,5.213008333
2021-09-19,2.938925
2021-09-20,4.525633333
2021-09-21,3.796208333
2021-09-22,5.418633333
2021-09-23,4.212283333
2021-09-24,3.27
2021-09-25,5.464258333
2021-09-26,2.443658333
2021-09-27,5.290108333
2021-09-28,5.242925
2021-09-29,5.312208333
2021-09-30,3.7533
2021-10-01,2.890266667
2021-10-02,2.241108333
2021-10-03,3.25835
2021-10-04,3.980583333
2021-10-05,4.432375
2021-10-06,2.569391667
2021-10-07,3.308558333
2021-10-08,4.530558333
2021-10-09,4.019216667
2021-10-10,4.879491667
2021-10-11,3.888933333
2021-10-12,3.69335
2021-10-13,4.217616667
2021-10-14,4.225558333
2021-10-15,4.874091667
2021-10-16,3.088991667
2021-10-17,2.655141667
2021-10-18,3.646175
2021-10-19,4.813958333
2021-10-20,3.462341667
2021-10-21,4.521408333
2021-10-22,3.811491667
2021-10-23,5.23085
2021-10-24,5.215608333
2021-10-25,4.301241667
2021-10-26,4.34445
2021-10-27,2.7031
2021-10-28,4.804625
2021-10-29,4.6817
2021-10-30,5.343966667
2021-10-31,4.882691667
2021-11-01,5.157433333
2021-11-02,5.658
2021-11-03,5.717733333
2021-11-04,4.610741667
2021-11-05,4.493766667
2021-11-06,4.409416667
2021-11-07,5.132466667
2021-11-08,4.932991667
2021-11-09,3.22415
2021-11-10,3.982908333
2021-11-11,3.147491667
2021-11-12,5.170041667
2021-11-13,4.65255
2021-11-14,2.8508
2021-11-15,3.419125
2021-11-16,3.139875
2021-11-17,4.831783333
2021-11-18,4.327291667
2021-11-19,4.265508333
2021-11-20,3.625275
2021-11-21,5.127283333
2021-11-22,2.969658333
2021-11-23,4.362266667
2021-11-24,4.224641667
2021-11-25,4.057691667
2021-11-26,4.631066667
2021-11-27,1.684283333
2021-11-28,3.185458333
2021-11-29,2.700216667
2021-11-30,2.478966667
2021-12-01,4.040033333
2021-12-02,4.209466667
2021-12-03,5.584608333
2021-12-04,4.317975
2021-12-05,4.869316667
2021-12-06,4.898133333
2021-12-07,4.362108333
2021-12-08,4.85815
2021-12-09,3.397541667
2021-12-10,5.471958333
2021-12-11,4.818091667
2021-12-12,4.694283333
2021-12-13,4.765308333
2021-12-14,4.7271
2021-12-15,4.8865
2021-12-16,3.369958333
2021-12-17,3.554241667
2021-12-18,4.851925
2021-12-19,3.424116667
2021-12-20,4.136958333
2021-12-21,4.197316667
2021-12-22,2.564775
2021-12-23,3.409658333
2021-12-24,3.881258333
2021-12-25,4.682108333
2021-12-26,4.1058
2021-12-27,3.863683333
2021-12-28,4.023341667
2021-12-29,3.707125
2021-12-30,4.752783333
2021-12-31,5.5853
2022-01-01,5.084191667
2022-01-02,4.54415
2022-01-03,4.367208333
2022-01-04,4.724058333
2022-01-05,3.9985
2022-01-06,3.5042
2022-01-07,4.089358333
2022-01-08,4.83185
2022-01-09,4.600666667
2022-01-10,4.306733333
2022-01-11,4.370066667
2022-01-12,4.761333333
2022-01-13,4.948008333
2022-01-14,4.740716667
2022-01-15,4.593716667
2022-01-16,4.543225
2022-01-17,3.3945
2022-01-18,4.994683333
2022-01-19,4.877458333
2022-01-20,5.157525
2022-01-21,4.276675
2022-01-22,4.458325
2022-01-23,4.231091667
2022-01-24,3.60555
2022-01-25,3.376491667
2022-01-26,4.305258333
2022-01-27,5.072183333
2022-01-28,4.640791667
2022-01-29,4.220491667
2022-01-30,3.830216667
2022-01-31,5.159383333
2022-02-01,5.045475
2022-02-02,5.312308333
2022-02-03,4.893833333
2022-02-04,5.666016667
2022-02-05,5.260066667
2022-02-06,4.804358333
2022-02-07,4.666641667
2022-02-08,4.104
2022-02-09,5.32515
2022-02-10,5.388183333
2022-02-11,4.062983333
2022-02-12,5.237983333
2022-02-13,3.7119
2022-02-14,4.431283333
2022-02-15,4.990216667
2022-02-16,4.149233333
2022-02-17,4.318383333
2022-02-18,5.188325
2022-02-19,4.450266667
2022-02-20,4.419858333
2022-02-21,4.836308333
2022-02-22,4.611808333
2022-02-23,4.886116667
2022-02-24,5.199866667
2022-02-25,5.2465
2022-02-26,6.427275
2022-02-27,6.287241667
2022-02-28,5.909541667
2022-03-01,5.74105
2022-03-02,3.948875
2022-03-03,6.092025
2022-03-04,5.41575
2022-03-05,5.110141667
2022-03-06,6.016166667
2022-03-07,5.128958333
2022-03-08,6.368116667
2022-03-09,5.415233333
2022-03-10,4.164808333
2022-03-11,5.839325
2022-03-12,4.187916667
2022-03-13,5.754641667
2022-03-14,5.3176
2022-03-15,4.818283333
2022-03-16,4.7711
2022-03-17,4.87725
2022-03-18,4.700166667
2022-03-19,5.915041667
2022-03-20,4.226183333
2022-03-21,3.431675
2022-03-22,3.580491667
2022-03-23,4.997616667
2022-03-24,5.12505
